test,nact,before
89.74,64.0,9.65
89.57,64.0,9.65
89.76,64.0,9.65
90.01,64.0,9.65
89.6,64.0,9.65
89.67,64.0,9.65
89.25,64.0,9.65
89.56,64.0,9.65
89.45,64.0,9.65
89.97,64.0,9.65
89.44,64.0,9.65
89.56,64.0,9.65
88.88,64.0,9.65
89.66,64.0,9.65
89.86,64.0,9.65
89.72,64.0,9.65
90.15,64.0,9.65
89.6,64.0,9.65
89.38,64.0,9.65
89.66,64.0,9.65
90.19,64.0,9.65
90.01,64.0,9.65
89.57,64.0,9.65
89.37,64.0,9.65
89.62,64.0,9.65
89.91,64.0,9.65
89.91,64.0,9.65
89.52,64.0,9.65
90.02,64.0,9.65
89.81,64.0,9.65
89.79,64.0,9.65
89.08,64.0,9.65
89.74,64.0,9.65
89.68,64.0,9.65
89.64,64.0,9.65
89.83,64.0,9.65
89.31,64.0,9.65
89.72,64.0,9.65
89.65,64.0,9.65
89.23,64.0,9.65
89.55,64.0,9.65
89.77,64.0,9.65
89.94,64.0,9.65
89.44,64.0,9.65
90.21,64.0,9.65
89.5,64.0,9.65
89.41,64.0,9.65
89.76,64.0,9.65
89.21,64.0,9.65
89.75,64.0,9.65
90.22,64.0,9.65
89.84,64.0,9.65
90.26,64.0,9.65
90.07,64.0,9.65
90.21,64.0,9.65
89.39,64.0,9.65
89.57,64.0,9.65
90.01,64.0,9.65
89.48,64.0,9.65
90.03,64.0,9.65
90.24,64.0,9.65
90.31,64.0,9.65
89.84,64.0,9.65
90.05,64.0,9.65
89.76,64.0,9.65
89.92,64.0,9.65
89.58,64.0,9.65
90.34,64.0,9.65
89.44,64.0,9.65
89.83,64.0,9.65
89.13,64.0,9.65
89.57,64.0,9.65
89.99,64.0,9.65
89.68,64.0,9.65
90.12,64.0,9.65
89.54,64.0,9.65
89.73,64.0,9.65
89.48,64.0,9.65
89.94,64.0,9.65
90.23,64.0,9.65
89.75,64.0,9.65
90.16,64.0,9.65
90.14,64.0,9.65
89.46,64.0,9.65
89.75,64.0,9.65
90.05,64.0,9.65
90.2,64.0,9.65
89.83,64.0,9.65
89.72,64.0,9.65
89.52,64.0,9.65
89.5,64.0,9.65
90.16,64.0,9.65
90.08,64.0,9.65
90.09,64.0,9.65
89.77,64.0,9.65
90.08,64.0,9.65
90.11,64.0,9.65
89.57,64.0,9.65
89.99,64.0,9.65
89.89,64.0,9.65
89.95,64.0,9.65
90.05,64.0,9.65
89.61,64.0,9.65
90.09,64.0,9.65
90.19,64.0,9.65
90.14,64.0,9.65
89.87,64.0,9.65
90.28,64.0,9.65
89.89,64.0,9.65
89.91,64.0,9.65
90.08,64.0,9.65
89.43,64.0,9.65
89.73,64.0,9.65
90.11,64.0,9.65
90.06,64.0,9.65
90.05,64.0,9.65
90.24,64.0,9.65
90.05,64.0,9.65
89.66,64.0,9.65
89.82,64.0,9.65
89.42,64.0,9.65
89.68,64.0,9.65
89.99,64.0,9.65
90.1,64.0,9.65
90.27,64.0,9.65
89.81,64.0,9.65
90.36,64.0,9.65
90.09,64.0,9.65
89.86,64.0,9.65
90.27,64.0,9.65
90.47,64.0,9.65
90.35,64.0,9.65
90.42,64.0,9.65
90.49,64.0,9.65
90.03,64.0,9.65
89.83,64.0,9.65
90.27,64.0,9.65
89.5,64.0,9.65
90.21,64.0,9.65
69.01,51.2,10.0
74.96,51.2,10.0
78.08,51.2,10.0
79.69,51.2,10.0
81.33,51.2,10.0
83.03,51.2,10.0
83.51,51.2,10.0
83.68,51.2,10.0
84.27,51.2,10.0
84.72,51.2,10.0
84.72,51.2,10.0
85.85,51.2,10.0
85.8,51.2,10.0
86.06,51.2,10.0
86.35,51.2,10.0
86.59,51.2,10.0
86.63,51.2,10.0
86.9,51.2,10.0
87.17,51.2,10.0
87.03,51.2,10.0
87.05,51.2,10.0
87.26,51.2,10.0
87.94,51.2,10.0
87.71,51.2,10.0
87.81,51.2,10.0
87.38,51.2,10.0
88.13,51.2,10.0
88.04,51.2,10.0
88.17,51.2,10.0
88.35,51.2,10.0
88.01,51.2,10.0
88.36,51.2,10.0
87.82,51.2,10.0
88.32,51.2,10.0
88.32,51.2,10.0
88.33,51.2,10.0
88.45,51.2,10.0
88.18,51.2,10.0
88.26,51.2,10.0
88.57,51.2,10.0
88.51,51.2,10.0
88.56,51.2,10.0
88.66,51.2,10.0
88.9,51.2,10.0
88.51,51.2,10.0
88.81,51.2,10.0
88.57,51.2,10.0
88.66,51.2,10.0
88.72,51.2,10.0
88.91,51.2,10.0
88.72,51.2,10.0
89.01,51.2,10.0
88.84,51.2,10.0
89.26,51.2,10.0
89.23,51.2,10.0
89.05,51.2,10.0
89.5,51.2,10.0
89.0,51.2,10.0
88.91,51.2,10.0
89.16,51.2,10.0
88.64,51.2,10.0
89.56,51.2,10.0
89.46,51.2,10.0
89.4,51.2,10.0
89.0,51.2,10.0
88.93,51.2,10.0
89.13,51.2,10.0
89.11,51.2,10.0
89.59,51.2,10.0
89.43,51.2,10.0
89.48,51.2,10.0
89.25,51.2,10.0
89.41,51.2,10.0
89.42,51.2,10.0
89.11,51.2,10.0
89.18,51.2,10.0
88.99,51.2,10.0
89.65,51.2,10.0
89.35,51.2,10.0
89.34,51.2,10.0
89.17,51.2,10.0
89.47,51.2,10.0
89.18,51.2,10.0
89.41,51.2,10.0
89.25,51.2,10.0
89.38,51.2,10.0
89.01,51.2,10.0
89.04,51.2,10.0
89.34,51.2,10.0
89.39,51.2,10.0
89.1,51.2,10.0
89.61,51.2,10.0
89.66,51.2,10.0
89.69,51.2,10.0
89.89,51.2,10.0
89.14,51.2,10.0
89.51,51.2,10.0
89.57,51.2,10.0
89.37,51.2,10.0
89.56,51.2,10.0
89.61,51.2,10.0
89.25,51.2,10.0
89.56,51.2,10.0
89.67,51.2,10.0
89.67,51.2,10.0
89.51,51.2,10.0
89.48,51.2,10.0
89.64,51.2,10.0
89.73,51.2,10.0
89.63,51.2,10.0
89.22,51.2,10.0
89.67,51.2,10.0
89.32,51.2,10.0
89.5,51.2,10.0
89.26,51.2,10.0
89.78,51.2,10.0
89.37,51.2,10.0
89.78,51.2,10.0
89.46,51.2,10.0
89.57,51.2,10.0
89.32,51.2,10.0
89.8,51.2,10.0
89.57,51.2,10.0
89.36,51.2,10.0
89.57,51.2,10.0
89.49,51.2,10.0
89.66,51.2,10.0
89.48,51.2,10.0
90.15,51.2,10.0
89.74,51.2,10.0
89.95,51.2,10.0
89.24,51.2,10.0
89.52,51.2,10.0
89.61,51.2,10.0
89.39,51.2,10.0
89.67,51.2,10.0
89.74,51.2,10.0
89.64,51.2,10.0
89.67,51.2,10.0
89.45,51.2,10.0
90.04,51.2,10.0
89.81,51.2,10.0
89.87,51.2,10.0
89.94,51.2,10.0
89.67,51.2,10.0
89.69,51.2,10.0
89.75,51.2,10.0
89.54,51.2,10.0
89.78,51.2,10.0
89.82,51.2,10.0
90.01,51.2,10.0
90.06,51.2,10.0
89.39,51.2,10.0
89.36,51.2,10.0
89.92,51.2,10.0
89.62,51.2,10.0
89.76,51.2,10.0
89.61,51.2,10.0
89.83,51.2,10.0
89.99,51.2,10.0
90.08,51.2,10.0
90.02,51.2,10.0
90.01,51.2,10.0
89.78,51.2,10.0
89.66,51.2,10.0
89.41,51.2,10.0
89.9,51.2,10.0
90.16,51.2,10.0
89.36,51.2,10.0
90.1,51.2,10.0
90.05,51.2,10.0
89.85,51.2,10.0
90.37,51.2,10.0
90.02,51.2,10.0
89.7,51.2,10.0
89.64,51.2,10.0
89.89,51.2,10.0
89.64,51.2,10.0
89.72,51.2,10.0
89.94,51.2,10.0
90.27,51.2,10.0
89.83,51.2,10.0
89.68,51.2,10.0
89.95,51.2,10.0
89.78,51.2,10.0
89.31,51.2,10.0
90.13,51.2,10.0
89.91,51.2,10.0
89.61,51.2,10.0
89.93,51.2,10.0
89.86,51.2,10.0
89.89,51.2,10.0
89.79,51.2,10.0
89.47,51.2,10.0
90.05,51.2,10.0
90.04,51.2,10.0
89.63,51.2,10.0
89.92,51.2,10.0
89.63,51.2,10.0
89.39,51.2,10.0
90.01,51.2,10.0
89.72,51.2,10.0
89.66,51.2,10.0
90.1,51.2,10.0
89.72,51.2,10.0
90.13,51.2,10.0
89.99,51.2,10.0
89.52,51.2,10.0
89.93,51.2,10.0
89.82,51.2,10.0
89.97,51.2,10.0
89.67,51.2,10.0
89.59,51.2,10.0
89.7,51.2,10.0
89.47,51.2,10.0
90.04,51.2,10.0
89.86,51.2,10.0
89.56,51.2,10.0
89.84,51.2,10.0
90.19,51.2,10.0
89.72,51.2,10.0
89.98,51.2,10.0
89.79,51.2,10.0
90.04,51.2,10.0
89.96,51.2,10.0
90.17,51.2,10.0
89.61,51.2,10.0
89.65,51.2,10.0
89.88,51.2,10.0
90.01,51.2,10.0
89.83,51.2,10.0
90.01,51.2,10.0
89.93,51.2,10.0
89.85,51.2,10.0
90.11,51.2,10.0
89.82,51.2,10.0
90.18,51.2,10.0
89.75,51.2,10.0
89.76,51.2,10.0
89.75,51.2,10.0
89.86,51.2,10.0
90.0,51.2,10.0
89.77,51.2,10.0
89.8,51.2,10.0
90.12,51.2,10.0
89.87,51.2,10.0
89.82,51.2,10.0
90.01,51.2,10.0
89.62,51.2,10.0
89.54,51.2,10.0
90.44,51.2,10.0
90.06,51.2,10.0
90.28,51.2,10.0
90.27,51.2,10.0
89.74,51.2,10.0
90.17,51.2,10.0
90.19,51.2,10.0
90.07,51.2,10.0
90.39,51.2,10.0
89.84,51.2,10.0
89.92,51.2,10.0
89.54,51.2,10.0
90.01,51.2,10.0
